# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
6.93,29,4215.30662
6.2,23,4222.273047
3.03,9,4224.865662
5.48,30,4233.560647
5.62,27,4241.482841
6.57,28,4249.621328
5.72,26,4257.166791
6.53,24,4264.331157
5.77,23,4271.090505
5.02,17,4275.951939
7.9,29,4284.017035
7.64,38,4295.714933
6.36,25,4302.888996
6.53,18,4308.019455
5.27,28,4316.13675
5.66,23,4323.00267
6.02,23,4329.453448
7.14,23,4336.067835
5.92,26,4343.621794
6.51,27,4351.847595
7.2,24,4359.104089
6.09,28,4367.423053
7.89,25,4374.530753
5.0,22,4380.788629
4.65,14,4384.640883
7.06,33,4394.737442
6.4,30,4403.460842
7.66,32,4412.525737
6.87,27,4420.030012
5.32,30,4428.717848
7.05,18,4434.563282
7.27,28,4442.615972
7.3,30,4451.357674
6.44,26,4458.820906
6.3,25,4466.147344
7.1,28,4473.749275
3.94,20,4480.227931
6.9,28,4488.268111
6.12,30,4497.385029
5.29,23,4503.875786
4.84,17,4509.113845
6.03,28,4517.790034
6.96,23,4524.334121
7.57,29,4532.738178
6.67,35,4542.892992
5.07,24,4549.818706
6.16,27,4558.054812
7.61,31,4567.10061
5.92,21,4573.307661
6.61,25,4580.920504
6.44,24,4587.528204
7.12,24,4594.351418
5.89,28,4602.556354
4.7,25,4610.087424
6.56,16,4614.845562
6.35,25,4621.865857
7.22,41,4633.985609
4.69,20,4639.700472
4.49,14,4643.68457
5.28,20,4649.560268
5.37,22,4656.056408
7.16,29,4664.302785
7.44,24,4671.116106
6.65,34,4681.292192
6.33,28,4689.169878
6.31,23,4696.09133
5.04,18,4701.135173
6.28,19,4706.546271
6.18,23,4713.272482
4.55,20,4718.963529
7.01,31,4728.091563
7.08,33,4737.537975
6.16,29,4746.314129
4.94,23,4753.121203
6.78,28,4761.406275
5.19,27,4769.306072
7.43,30,4777.612938
4.37,26,4785.259578
7.79,22,4792.295673
5.58,24,4799.598394
5.12,28,4807.590479
6.68,23,4814.690087
6.31,26,4821.780837
5.35,22,4828.037591
6.27,19,4833.520039
6.79,23,4840.205929
7.24,29,4848.42837
5.2,24,4854.926138
6.14,31,4863.801109
7.31,29,4871.836143
4.53,17,4876.84778
